ano,mes,cbo6,faixa_sm,mov,n,sal_medio
2023,3,212415,acima_10SM,deslig,5,23501.61
2023,3,212415,ate_3SM,adm,38,2716.73
2023,3,212415,ate_3SM,deslig,45,2682.36
2023,3,212420,3_a_6SM,adm,260,5427.24
2023,3,212420,3_a_6SM,deslig,256,5418.52
2023,3,212420,6_a_10SM,adm,80,10152.44
2023,3,212420,6_a_10SM,deslig,90,10032.54
2023,3,212420,acima_10SM,adm,34,16464.72
2023,3,212420,acima_10SM,deslig,28,17673.99
2023,3,212420,ate_3SM,adm,1124,2395.93
2023,3,212420,ate_3SM,deslig,917,2451.11
2023,3,212425,3_a_6SM,adm,2,4750.0
2023,3,212425,3_a_6SM,deslig,6,6426.72
2023,3,212425,6_a_10SM,adm,19,10757.31
2023,3,212425,6_a_10SM,deslig,9,10827.38
2023,3,212425,acima_10SM,adm,22,18569.89
2023,3,212425,acima_10SM,deslig,23,18450.77
2023,3,212425,ate_3SM,adm,3,2066.67
2023,3,212425,ate_3SM,deslig,5,2659.24
2023,3,212430,3_a_6SM,adm,17,6128.55
2023,3,212430,3_a_6SM,deslig,85,5905.91
2023,3,212430,6_a_10SM,adm,34,10196.18
2023,3,212430,6_a_10SM,deslig,35,10150.39
2023,3,212430,acima_10SM,adm,1,15800.0
2023,3,212430,acima_10SM,deslig,1,15194.29
2023,3,212430,ate_3SM,adm,33,2790.57
2023,3,212430,ate_3SM,deslig,29,2786.99
2023,3,317105,3_a_6SM,adm,14,5344.08
2023,3,317105,3_a_6SM,deslig,22,5555.61
2023,3,317105,6_a_10SM,adm,9,11299.32
2023,3,317105,6_a_10SM,deslig,21,10100.64
2023,3,317105,acima_10SM,adm,3,15500.0
2023,3,317105,acima_10SM,deslig,8,15328.77
2023,3,317105,ate_3SM,adm,38,2282.32
2023,3,317105,ate_3SM,deslig,43,2467.05
2023,3,317110,3_a_6SM,adm,216,5558.08
2023,3,317110,3_a_6SM,deslig,248,5585.97
2023,3,317110,6_a_10SM,adm,209,10277.55
2023,3,317110,6_a_10SM,deslig,247,10043.79
2023,3,317110,acima_10SM,adm,77,17485.02
2023,3,317110,acima_10SM,deslig,84,21847.8
2023,3,317110,ate_3SM,adm,353,2550.68
2023,3,317110,ate_3SM,deslig,312,2597.2
2023,3,317110,sem_info,deslig,1,
2023,3,317115,3_a_6SM,adm,16,4876.06
2023,3,317115,3_a_6SM,deslig,20,5208.13
2023,3,317115,6_a_10SM,adm,1,8140.0
2023,3,317115,ate_3SM,adm,21,2844.45
2023,3,317115,ate_3SM,deslig,24,2857.84
2023,3,317120,3_a_6SM,adm,9,5732.37
2023,3,317120,3_a_6SM,deslig,6,6178.64
2023,3,317120,6_a_10SM,adm,3,8833.33
2023,3,317120,6_a_10SM,deslig,4,11183.61
2023,3,317120,acima_10SM,deslig,6,21576.44
2023,3,317120,ate_3SM,adm,88,2378.32
2023,3,317120,ate_3SM,deslig,10,2699.45
2023,3,317205,3_a_6SM,adm,13,5218.88
2023,3,317205,3_a_6SM,deslig,12,5294.34
2023,3,317205,6_a_10SM,deslig,1,10277.44
2023,3,317205,acima_10SM,adm,1,17000.0
2023,3,317205,acima_10SM,deslig,1,16000.0
2023,3,317205,ate_3SM,adm,207,1861.22
2023,3,317205,ate_3SM,deslig,213,2005.25
